MemberID	ItemID
0	0
1	1
1	2
1	3
1	4
1	5
2	6
3	7
4	8
5	9
0	10
0	11
0	12
0	13
0	14
0	15
0	16
0	17
0	18
0	19
6	20
7	21
8	22
9	23
9	24
9	25
9	26
9	27
10	28
10	29
11	30
12	31
13	32
13	33
14	34
15	35
15	36
16	37
16	38
17	39
16	40
18	41
19	42
20	43
21	44
22	45
21	26
21	46
21	47
21	48
21	49
21	50
21	51
21	51
21	51
21	51
23	52
23	53
24	54
25	55
25	56
23	57
23	58
23	59
23	60
23	61
26	62
27	63
27	64
26	65
28	66
29	67
30	68
30	69
0	70
31	71
28	72
28	73
32	74
33	75
34	76
35	7
32	77
35	78
36	79
37	80
35	81
38	82
39	83
3	84
40	85
41	86
42	87
43	88
44	89
45	90
45	91
45	92
46	93
46	94
46	95
47	96
48	97
49	98
4	99
4	100
9	101
50	102
51	103
52	104
53	105
54	106
55	107
44	108
44	104
56	109
53	110
36	111
36	112
57	113
58	114
59	115
60	116
21	117
61	118
61	119
20	120
21	121
21	122
60	123
60	124
20	125
20	126
20	127
20	43
20	128
21	129
62	130
62	129
62	131
62	132
62	133
47	134
63	135
63	136
63	137
63	138
63	139
63	140
63	141
63	141
63	142
64	143
65	144
65	145
66	146
66	147
67	148
65	149
68	150
69	151
66	152
70	153
69	154
69	155
69	156
69	157
69	158
69	159
71	160
66	161
72	162
73	163
72	164
0	165
66	166
66	167
66	168
65	169
74	170
75	171
76	172
1	173
1	174
52	175
77	176
78	177
78	178
78	179
79	180
80	181
81	94
82	182
81	183
81	184
81	185
83	94
83	74
81	186
81	187
82	188
81	189
81	190
82	191
82	192
84	94
75	193
85	194
65	195
65	196
67	197
85	198
85	199
67	200
86	201
66	202
87	203
87	204
88	205
89	206
27	207
27	208
88	209
89	206
89	210
28	87
90	211
91	212
91	213
31	72
28	214
87	215
87	216
87	217
87	218
27	219
31	220
31	221
28	222
28	223
91	224
31	225
31	224
31	226
31	227
28	213
90	87
27	228
31	229
31	230
31	231
92	87
28	232
32	224
28	233
91	234
91	235
92	213
91	234
32	236
28	237
31	238
32	239
28	224
90	236
26	186
28	185
27	240
91	241
32	242
32	243
93	244
31	144
91	245
91	246
91	222
26	247
92	248
28	249
27	250
28	251
26	252
26	253
28	254
28	255
28	256
27	202
93	257
28	258
93	259
28	260
28	74
92	261
92	262
28	95
26	256
27	263
28	264
26	265
32	266
91	267
94	84
94	268
93	202
69	269
69	270
27	271
32	272
28	273
28	274
93	275
95	276
95	95
27	277
28	278
95	279
95	94
28	280
95	281
28	282
95	283
93	284
95	169
28	65
92	285
95	286
91	282
95	287
31	70
32	288
27	87
69	186
69	289
69	290
69	291
69	292
69	293
32	294
28	295
32	296
27	297
28	298
93	299
92	300
28	301
96	255
29	302
29	303
28	283
29	67
27	304
29	305
29	295
93	306
28	307
29	186
96	255
26	308
28	309
29	310
27	311
28	312
69	293
29	313
28	314
29	315
27	316
26	213
69	317
69	318
29	319
30	65
26	320
28	321
29	322
26	257
26	323
28	247
28	205
26	324
27	325
69	326
69	327
69	328
69	329
96	72
96	147
96	330
26	331
28	332
97	333
94	95
94	334
97	335
97	7
97	336
97	337
97	338
97	339
27	7
37	340
27	341
27	342
37	146
27	343
96	344
96	345
97	186
37	346
27	347
97	348
69	349
69	350
98	351
98	345
98	352
98	353
27	354
97	215
98	355
33	95
33	356
33	357
97	185
33	358
33	67
97	359
97	360
33	74
27	361
93	209
69	362
69	363
27	364
98	365
98	366
99	367
97	146
37	368
28	328
97	369
28	370
99	371
31	372
31	222
93	373
99	63
99	374
27	375
28	376
33	377
99	378
99	379
32	67
97	310
0	380
99	381
0	213
31	382
31	383
31	384
99	385
99	386
32	387
99	64
99	388
98	95
98	70
98	389
98	377
33	390
99	391
99	202
98	392
98	393
27	394
99	304
99	395
98	396
98	397
99	398
99	346
37	399
69	400
69	401
28	402
32	403
28	404
99	319
99	364
93	405
99	406
99	407
98	408
98	409
97	351
0	72
0	410
32	411
33	412
37	413
32	414
28	376
99	373
0	415
99	416
84	213
99	379
27	417
93	418
28	419
32	420
28	421
69	422
69	423
0	392
31	424
32	425
100	426
28	214
0	427
100	421
93	428
32	368
69	429
28	50
100	264
101	63
97	430
28	431
27	432
100	433
28	434
37	389
37	363
28	435
32	399
97	436
100	437
27	438
93	439
28	440
32	441
100	442
28	443
27	444
99	445
97	446
100	437
28	447
37	448
99	67
99	67
32	67
99	449
28	328
100	450
37	62
97	451
28	422
32	378
28	452
28	453
27	401
97	454
93	297
99	455
69	456
32	374
100	457
100	458
102	459
102	460
28	461
37	462
103	463
99	464
104	465
102	466
28	467
97	447
28	468
32	368
102	433
102	354
93	469
28	470
99	310
28	471
97	435
32	62
99	472
93	7
28	473
69	69
69	474
104	205
97	475
28	476
99	477
102	322
32	265
104	262
27	471
28	478
97	479
34	368
28	480
28	481
97	482
98	483
102	217
32	465
93	484
31	485
28	486
98	487
28	488
28	298
28	489
103	238
99	490
32	255
99	491
28	128
28	73
98	492
98	357
97	493
93	494
28	495
97	95
32	357
28	496
97	153
34	441
98	443
28	497
103	95
28	498
97	499
32	95
93	271
28	500
97	478
97	501
99	502
104	240
104	503
37	222
34	504
33	505
33	506
32	94
103	443
33	507
33	466
105	255
31	508
99	216
97	509
97	510
104	511
34	418
32	67
33	512
99	513
69	514
69	515
106	417
106	516
37	517
105	518
33	519
97	520
33	521
99	522
103	523
97	81
33	213
33	524
37	525
32	184
99	261
97	526
99	527
33	528
99	529
107	434
107	530
93	531
37	95
97	438
99	206
97	532
32	533
69	534
69	276
34	366
33	357
103	370
107	535
105	536
33	392
105	281
37	537
97	509
108	538
108	404
33	539
32	466
108	540
106	527
108	541
32	357
105	542
108	543
108	544
108	545
97	546
108	547
108	548
109	476
97	549
97	550
97	406
93	551
93	358
104	552
35	553
35	62
108	554
35	209
35	555
35	556
108	189
37	557
108	558
108	559
108	560
108	561
108	255
69	128
69	562
108	563
69	558
108	564
37	264
110	565
110	540
37	249
108	370
34	566
34	228
34	567
34	568
34	569
97	570
103	543
110	571
110	94
37	572
110	573
69	574
69	575
97	571
110	348
110	72
97	576
97	557
110	577
110	578
106	94
109	437
97	579
110	580
97	581
69	582
37	583
110	584
98	585
97	523
98	560
110	586
37	568
69	467
69	587
98	588
97	461
97	281
111	249
37	589
34	590
34	591
103	592
110	376
110	593
111	468
98	558
111	594
109	473
111	468
112	467
103	240
69	595
69	596
97	597
110	598
109	599
103	600
109	601
97	602
105	603
110	604
103	605
112	606
111	607
97	608
34	609
34	610
34	435
111	611
97	281
110	483
110	612
113	613
103	128
103	262
111	614
109	615
111	616
97	617
113	265
114	618
114	619
109	620
111	621
111	336
97	545
97	564
110	622
110	524
111	623
3	74
28	624
113	625
111	585
115	626
97	627
116	628
113	629
33	527
111	630
69	631
69	632
113	633
28	634
33	635
33	67
31	63
97	636
37	637
33	638
111	639
111	640
114	641
109	338
97	642
116	643
28	644
35	354
69	645
69	646
113	647
34	460
34	648
33	470
33	649
97	650
109	421
116	628
28	589
117	651
117	510
117	337
37	258
116	652
37	653
97	654
40	655
28	656
111	477
111	657
111	367
104	658
97	606
103	305
28	659
111	428
103	660
97	286
40	661
111	662
28	663
116	628
111	71
37	453
101	69
97	495
111	226
69	664
69	349
101	202
28	606
100	422
40	665
103	187
40	666
117	308
111	660
100	187
101	146
97	214
33	667
33	406
33	357
109	668
100	550
100	480
28	669
97	75
40	624
100	433
33	622
32	670
101	671
116	672
28	666
28	673
100	255
103	674
28	675
40	676
117	677
117	255
32	282
69	611
69	678
97	679
28	487
34	680
34	681
111	682
111	683
111	684
3	685
3	686
32	687
100	95
103	548
103	81
40	688
28	689
28	674
118	690
118	677
100	376
116	628
32	691
28	692
31	693
117	252
119	74
109	589
109	694
97	663
40	695
109	694
118	74
118	468
100	696
104	433
28	697
100	183
28	678
32	67
97	698
119	699
69	700
69	429
100	665
100	701
118	529
32	79
116	702
120	554
120	63
35	7
97	703
103	584
103	704
28	705
97	656
119	487
113	647
117	169
117	256
40	706
115	569
119	707
100	314
34	62
34	517
28	708
97	659
28	709
103	710
103	711
119	392
40	680
97	688
40	611
32	652
97	712
40	713
109	714
97	715
121	716
40	632
97	563
40	717
122	668
122	718
40	543
118	300
69	704
69	719
32	720
97	721
105	94
35	722
122	723
122	724
104	718
117	674
40	704
40	725
117	258
117	273
117	67
97	480
40	726
122	727
122	728
3	647
3	729
40	730
32	469
121	322
35	731
34	433
40	183
103	732
103	725
105	529
32	469
3	733
40	700
35	734
105	74
105	94
105	334
122	733
122	18
122	714
